test_name,metric_name,projection,mean,std,cv,n_observations,non_discriminant
GRA-001,clustering_local,value_final,0.424331,0.46371696026671266,1.092818955642441,2400,False
GRA-001,degree_variance,value_final,0.5858692083333334,2.255245984419299,3.8494017987990325,2400,False
GRA-001,density,value_final,0.41690941666666664,0.46487754978559637,1.1150564875757698,2400,False
PAT-001,concentration_top10,value_final,0.304950125,0.30930655718340505,1.0142857202744384,2400,False
PAT-001,diversity_simpson,value_final,0.7329281666666666,0.2852788626326392,0.3892316813666449,2400,False
PAT-001,uniformity,value_final,0.7529281666666666,0.2852788626326392,0.37889253618391555,2400,False
SPA-001,gradient_magnitude,value_final,1388832499.3919013,3098063076.736695,2.230695982483977,2400,False
SPA-001,laplacian_energy,value_final,11.370107926666666,9.583968155661461,0.8429091629978185,2400,False
SPA-001,smoothness,value_final,0.7965038750000001,0.3517076655251503,0.44156428683432364,2400,False
SPE-001,eigenvalue_max,value_final,2.6909997352657347e+293,inf,inf,2400,False
SPE-001,spectral_gap,value_final,0.22303552999999998,0.3625014966992285,1.6253082937020327,2400,False
SPE-001,spectral_radius,value_final,2.6909997352657347e+293,inf,inf,2400,False
SYM-001,asymmetry_norm,value_final,1.1147556774995174e+144,5.244826920311965e+145,47.04911601864648,2400,False
SYM-001,asymmetry_norm_normalized,value_final,0.66770246125,0.7350810885162219,1.1009111560560716,2400,False
TOP-001,connected_components,value_final,120.92916666666666,94.82276440446964,0.7841182323354827,2400,False
TOP-001,euler_characteristic,value_final,-6.389583333333333,37.315003347532866,5.839974439783428,2400,False
TOP-001,holes_count,value_final,27.20375,26.33205719152038,0.9679568879849426,2400,False
UNIV-001,frobenius_norm,value_final,4.1064965410688396e+144,1.9425442325553658e+146,47.30417311029221,2400,False
UNIV-002,trace_absolute,value_final,2.6909997352657344e+293,inf,inf,2400,False
UNIV-002,trace_normalized,value_final,5.381999470520704e+291,inf,inf,2400,False
GRA-001,clustering_local,value_mean,0.42222690327914836,0.4389553062868956,1.0396194626108122,2400,False
GRA-001,degree_variance,value_mean,0.3258904346164957,1.2518683452044372,3.841377997723751,2400,False
GRA-001,density,value_mean,0.4092947063361777,0.44164501834356185,1.0790391654389317,2400,False
PAT-001,concentration_top10,value_mean,0.31220564879326984,0.26926558063740835,0.862462231795509,2400,False
PAT-001,diversity_simpson,value_mean,0.7506205774870949,0.284125235773023,0.3785204460077673,2400,False
PAT-001,uniformity,value_mean,0.7706205774870949,0.284125235773023,0.3686966635377461,2400,False
SPA-001,gradient_magnitude,value_mean,1366899787.8442369,3049072811.436289,2.230648390285464,2400,False
SPA-001,laplacian_energy,value_mean,11.63003132302386,9.258350578996653,0.796072712260713,2400,False
SPA-001,smoothness,value_mean,0.8475087449124469,0.27758378542698325,0.32752911057650436,2400,False
SPE-001,eigenvalue_max,value_mean,2.9355267683901557e+292,inf,inf,2400,False
SPE-001,spectral_gap,value_mean,0.15618888203797573,0.25884888093817354,1.6572810917184047,2400,False
SPE-001,spectral_radius,value_mean,2.9355267683901557e+292,inf,inf,2400,False
SYM-001,asymmetry_norm,value_mean,2.7644601683395508e+143,1.3107970583195162e+145,47.41602260476175,2400,False
