factor_varying,factor_context,context_value,test_name,metric_name,projection,vr_conditional,vr_marginal,interaction_strength,p_value,n_groups
gamma_id,d_encoding_id,ASY-004,GRA-001,degree_variance,value_mean,0.9771651552407503,0.4838877854307769,2.0194044666178907,2.323174858005164e-44,12
gamma_id,d_encoding_id,SYM-002,GRA-001,degree_variance,value_mean,0.9942282053928498,0.4838877854307769,2.0546668779988875,9.878834789308387e-43,12
gamma_id,d_encoding_id,SYM-003,GRA-001,degree_variance,value_mean,0.9935277832585718,0.4838877854307769,2.0532193892311055,1.8407202895914363e-40,12
gamma_id,d_encoding_id,SYM-004,GRA-001,degree_variance,value_mean,0.9940668187005407,0.4838877854307769,2.054333357093487,5.741215433440918e-41,12
gamma_id,d_encoding_id,SYM-006,GRA-001,degree_variance,value_mean,0.9964676244289543,0.4838877854307769,2.059294849821137,1.1204488041309087e-40,12
gamma_id,d_encoding_id,ASY-001,PAT-001,concentration_top10,volatility,0.9982687184821902,0.17558412361100764,5.685415617039348,7.776509155900325e-42,12
gamma_id,d_encoding_id,ASY-002,PAT-001,concentration_top10,volatility,0.9880168740492943,0.17558412361100764,5.627028536123035,2.0765289332443193e-41,12
gamma_id,d_encoding_id,ASY-003,PAT-001,concentration_top10,volatility,0.48187793212833174,0.17558412361100764,2.744427697779175,1.0408250984195957e-42,12
gamma_id,d_encoding_id,ASY-004,PAT-001,concentration_top10,volatility,0.9993614956623733,0.17558412361100764,5.69163928440579,5.261105856153501e-44,12
gamma_id,d_encoding_id,SYM-001,PAT-001,concentration_top10,volatility,0.920957311463795,0.17558412361100764,5.245105836015681,1.2919896342511768e-19,12
gamma_id,d_encoding_id,SYM-002,PAT-001,concentration_top10,volatility,0.997317724951682,0.17558412361100764,5.679999446653608,2.393614144729043e-42,12
gamma_id,d_encoding_id,SYM-003,PAT-001,concentration_top10,volatility,0.998069486148626,0.17558412361100764,5.684280933962844,1.1875177263933239e-43,12
gamma_id,d_encoding_id,SYM-004,PAT-001,concentration_top10,volatility,0.9990539904316247,0.17558412361100764,5.689887957324363,1.269068223655854e-42,12
gamma_id,d_encoding_id,SYM-005,PAT-001,concentration_top10,volatility,0.9102212187495112,0.17558412361100764,5.183960827608949,2.269334397642737e-28,12
gamma_id,d_encoding_id,SYM-006,PAT-001,concentration_top10,volatility,0.9993593614733852,0.17558412361100764,5.691627129611016,9.79948412128001e-44,12
gamma_id,d_encoding_id,ASY-001,PAT-001,concentration_top10,relative_change,0.9685354720936824,0.37753822939526843,2.565397082157902,2.7810697096432437e-41,12
gamma_id,d_encoding_id,ASY-002,PAT-001,concentration_top10,relative_change,0.9175267502342751,0.37753822939526843,2.4302883225996665,1.1753782173229167e-37,12
gamma_id,d_encoding_id,ASY-003,PAT-001,concentration_top10,relative_change,0.954276213610262,0.37753822939526843,2.5276280368713877,2.995762817023469e-42,12
gamma_id,d_encoding_id,ASY-004,PAT-001,concentration_top10,relative_change,0.995676234923448,0.37753822939526843,2.637285862462983,3.946963834381977e-43,12
gamma_id,d_encoding_id,SYM-002,PAT-001,concentration_top10,relative_change,0.9345387916867854,0.37753822939526843,2.4753487698019536,8.774059545994696e-41,12
gamma_id,d_encoding_id,SYM-003,PAT-001,concentration_top10,relative_change,0.9532283211068201,0.37753822939526843,2.524852443774179,5.2500066444396155e-43,12
gamma_id,d_encoding_id,SYM-004,PAT-001,concentration_top10,relative_change,0.9919628995063509,0.37753822939526843,2.627450208407379,1.3463292667646166e-43,12
gamma_id,d_encoding_id,SYM-005,PAT-001,concentration_top10,relative_change,0.7731362263130888,0.37753822939526843,2.0478355994609596,3.589266575233415e-36,12
gamma_id,d_encoding_id,SYM-006,PAT-001,concentration_top10,relative_change,0.9995020845861148,0.37753822939526843,2.6474195373196854,5.990637408066384e-43,12
gamma_id,d_encoding_id,ASY-001,PAT-001,diversity_simpson,slope,0.8973946044282521,0.056907220640778584,15.769433023147805,9.806251351541345e-44,12
gamma_id,d_encoding_id,ASY-002,PAT-001,diversity_simpson,slope,0.4339710264989107,0.056907220640778584,7.625939583981996,6.843380553297115e-42,12
gamma_id,d_encoding_id,ASY-003,PAT-001,diversity_simpson,slope,0.8709201822200938,0.056907220640778584,15.304212232006455,8.036718880500843e-40,12
gamma_id,d_encoding_id,ASY-004,PAT-001,diversity_simpson,slope,0.780915367569974,0.056907220640778584,13.722606002837988,1.041360192702511e-43,12
gamma_id,d_encoding_id,SYM-001,PAT-001,diversity_simpson,slope,0.38753675206346166,0.056907220640778584,6.8099750383128095,5.7893975611505e-34,12
gamma_id,d_encoding_id,SYM-002,PAT-001,diversity_simpson,slope,0.756191575331685,0.056907220640778584,13.288148091172339,4.431377707600036e-43,12
gamma_id,d_encoding_id,SYM-003,PAT-001,diversity_simpson,slope,0.9407789783134464,0.056907220640778584,16.531803305805852,5.744089612309103e-43,12
gamma_id,d_encoding_id,SYM-006,PAT-001,diversity_simpson,slope,0.8427039529047328,0.056907220640778584,14.80838360081265,3.794185652693572e-43,12
gamma_id,d_encoding_id,ASY-001,PAT-001,diversity_simpson,volatility,0.9877491510561969,0.07240967120276706,13.641121892270808,4.496230208030573e-44,12
gamma_id,d_encoding_id,ASY-002,PAT-001,diversity_simpson,volatility,0.5147811896092164,0.07240967120276706,7.109287765824637,4.4624735361071615e-40,12
gamma_id,d_encoding_id,ASY-003,PAT-001,diversity_simpson,volatility,0.4807544366113481,0.07240967120276706,6.639367761595036,5.423058713750275e-44,12
gamma_id,d_encoding_id,ASY-004,PAT-001,diversity_simpson,volatility,0.9976300090697906,0.07240967120276706,13.777579603643707,5.372403764891263e-44,12
gamma_id,d_encoding_id,SYM-001,PAT-001,diversity_simpson,volatility,0.35987649157866386,0.07240967120276706,4.970005879061519,1.0254303543412982e-18,12
gamma_id,d_encoding_id,SYM-002,PAT-001,diversity_simpson,volatility,0.9785976458227055,0.07240967120276706,13.514736768826943,2.8000504959202994e-43,12
gamma_id,d_encoding_id,SYM-003,PAT-001,diversity_simpson,volatility,0.9959998534254171,0.07240967120276706,13.755066648988677,1.5162179110862017e-43,12
gamma_id,d_encoding_id,SYM-004,PAT-001,diversity_simpson,volatility,0.9937719225709121,0.07240967120276706,13.724298233423495,2.545304950574339e-43,12
gamma_id,d_encoding_id,SYM-005,PAT-001,diversity_simpson,volatility,0.43995867893110446,0.07240967120276706,6.075965704900092,3.6237790544945336e-30,12
gamma_id,d_encoding_id,SYM-006,PAT-001,diversity_simpson,volatility,0.4512369245439834,0.07240967120276706,6.231721772087536,2.0160792655705952e-42,12
gamma_id,d_encoding_id,ASY-001,PAT-001,uniformity,slope,0.8973946044282527,0.056907220640778675,15.769433023147789,1.0653998417264575e-43,12
gamma_id,d_encoding_id,ASY-002,PAT-001,uniformity,slope,0.4339710264989108,0.056907220640778675,7.625939583981985,6.359895054200877e-42,12
gamma_id,d_encoding_id,ASY-003,PAT-001,uniformity,slope,0.8709201822200936,0.056907220640778675,15.304212232006426,8.484459246063074e-40,12
gamma_id,d_encoding_id,ASY-004,PAT-001,uniformity,slope,0.7809153675699756,0.056907220640778675,13.722606002837994,9.4475912455338e-44,12
gamma_id,d_encoding_id,SYM-001,PAT-001,uniformity,slope,0.38753675206346216,0.056907220640778675,6.809975038312808,4.2472996233940726e-27,12
gamma_id,d_encoding_id,SYM-002,PAT-001,uniformity,slope,0.7561915753316851,0.056907220640778675,13.288148091172319,4.631114660967739e-43,12
gamma_id,d_encoding_id,SYM-003,PAT-001,uniformity,slope,0.9407789783134465,0.056907220640778675,16.531803305805827,5.575690033942784e-43,12
gamma_id,d_encoding_id,SYM-006,PAT-001,uniformity,slope,0.8427039529047325,0.056907220640778675,14.808383600812624,3.4870794225805647e-43,12
gamma_id,d_encoding_id,ASY-001,PAT-001,uniformity,volatility,0.9873115882602963,0.10401302004366333,9.492192302904343,4.496230208030573e-44,12
gamma_id,d_encoding_id,ASY-002,PAT-001,uniformity,volatility,0.5345245862031058,0.10401302004366333,5.139016115277869,4.394249622426262e-40,12
gamma_id,d_encoding_id,ASY-003,PAT-001,uniformity,volatility,0.4911854078347112,0.10401302004366333,4.722345410493012,5.423058713750275e-44,12
gamma_id,d_encoding_id,ASY-004,PAT-001,uniformity,volatility,0.9975424663184809,0.10401302004366333,9.590553816240748,5.355438457347845e-44,12
gamma_id,d_encoding_id,SYM-001,PAT-001,uniformity,volatility,0.3441210945404218,0.10401302004366333,3.3084424853346643,7.579932147808516e-18,12
gamma_id,d_encoding_id,SYM-002,PAT-001,uniformity,volatility,0.9778515142514485,0.10401302004366333,9.401241439205966,2.8000504959202994e-43,12
gamma_id,d_encoding_id,SYM-003,PAT-001,uniformity,volatility,0.9958540329404496,0.10401302004366333,9.574320912155063,1.5246770389257988e-43,12
gamma_id,d_encoding_id,SYM-004,PAT-001,uniformity,volatility,0.99354537573428,0.10401302004366333,9.552125063931442,2.589316820292507e-43,12
gamma_id,d_encoding_id,SYM-005,PAT-001,uniformity,volatility,0.4441505925252563,0.10401302004366333,4.27014418328405,2.9407877207104945e-30,12
gamma_id,d_encoding_id,SYM-006,PAT-001,uniformity,volatility,0.6034521024122956,0.10401302004366333,5.801697731293392,2.0116751709358344e-42,12
gamma_id,d_encoding_id,ASY-001,SPA-001,gradient_magnitude,volatility,0.9817318919973367,0.0590540202464243,16.624302425147427,8.952787265829055e-43,12
gamma_id,d_encoding_id,ASY-002,SPA-001,gradient_magnitude,volatility,0.744176641032707,0.0590540202464243,12.601625391926921,6.673868498053623e-42,12
gamma_id,d_encoding_id,ASY-003,SPA-001,gradient_magnitude,volatility,0.47286707524184723,0.0590540202464243,8.007364668292489,2.315980588334147e-37,12
gamma_id,d_encoding_id,ASY-004,SPA-001,gradient_magnitude,volatility,0.9919126816013397,0.0590540202464243,16.796700334070813,6.602989611785456e-43,12
gamma_id,d_encoding_id,SYM-001,SPA-001,gradient_magnitude,volatility,0.9728673768769697,0.0590540202464243,16.47419384518324,1.993810750929305e-28,12
gamma_id,d_encoding_id,SYM-002,SPA-001,gradient_magnitude,volatility,0.9848297543322434,0.0590540202464243,16.676760535907366,7.925489498438201e-44,12
gamma_id,d_encoding_id,SYM-003,SPA-001,gradient_magnitude,volatility,0.9832032689960334,0.0590540202464243,16.64921820552202,6.711449127540953e-34,12
gamma_id,d_encoding_id,SYM-004,SPA-001,gradient_magnitude,volatility,0.9981238935449073,0.0590540202464243,16.90187881163507,1.2161433592121536e-37,12
gamma_id,d_encoding_id,SYM-005,SPA-001,gradient_magnitude,volatility,0.9894255065111563,0.0590540202464243,16.754583386235513,1.8471124993115134e-39,12
gamma_id,d_encoding_id,ASY-001,SPA-001,gradient_magnitude,relative_change,0.9971198706487184,0.3264555963221288,3.054381306010188,3.1526320371549535e-43,12
gamma_id,d_encoding_id,ASY-004,SPA-001,gradient_magnitude,relative_change,0.994057072733127,0.3264555963221288,3.0449993320140396,1.0404009081399578e-43,12
gamma_id,d_encoding_id,SYM-002,SPA-001,gradient_magnitude,relative_change,0.9989711480905843,0.3264555963221288,3.060052145973486,1.5823283518785526e-43,12
gamma_id,d_encoding_id,SYM-003,SPA-001,gradient_magnitude,relative_change,0.9956635484692811,0.3264555963221288,3.0499202944795405,1.9619189023396613e-43,12
gamma_id,d_encoding_id,SYM-004,SPA-001,gradient_magnitude,relative_change,0.9990303193517381,0.3264555963221288,3.060233399601301,1.390859716525745e-43,12
gamma_id,d_encoding_id,ASY-001,SPA-001,laplacian_energy,relative_change,0.9976062301153654,0.060609225845019,16.45964316829087,1.1136040798077511e-38,12
gamma_id,d_encoding_id,ASY-002,SPA-001,laplacian_energy,relative_change,0.9774241713519983,0.060609225845019,16.126656589399833,2.432384067139034e-38,12
gamma_id,d_encoding_id,ASY-003,SPA-001,laplacian_energy,relative_change,0.908933135364773,0.060609225845019,14.996613513740684,3.562808384761137e-36,12
gamma_id,d_encoding_id,ASY-004,SPA-001,laplacian_energy,relative_change,0.8860851792976089,0.060609225845019,14.619641926517517,1.4661586547000556e-42,12
gamma_id,d_encoding_id,SYM-001,SPA-001,laplacian_energy,relative_change,0.9848549011504025,0.060609225845019,16.249257228078257,1.7189829723065897e-36,12
gamma_id,d_encoding_id,SYM-002,SPA-001,laplacian_energy,relative_change,0.9908801839571096,0.060609225845019,16.34866920245513,4.508991545808962e-39,12
