factor_varying,factor_context,context_value,test_name,metric_name,projection,vr_conditional,vr_marginal,interaction_strength,p_value,n_groups
gamma_id,d_encoding_id,ASY-004,GRA-001,degree_variance,value_mean,0.9771651552407496,0.4838877854307771,2.0194044666178885,2.323174858005164e-44,12
gamma_id,d_encoding_id,SYM-002,GRA-001,degree_variance,value_mean,0.9942282053928496,0.4838877854307771,2.054666877998886,9.878834789308387e-43,12
gamma_id,d_encoding_id,SYM-003,GRA-001,degree_variance,value_mean,0.9935277832585713,0.4838877854307771,2.0532193892311033,1.8407202895914363e-40,12
gamma_id,d_encoding_id,SYM-004,GRA-001,degree_variance,value_mean,0.9940668187005409,0.4838877854307771,2.0543333570934865,5.741215433440918e-41,12
gamma_id,d_encoding_id,SYM-006,GRA-001,degree_variance,value_mean,0.9964676244289545,0.4838877854307771,2.0592948498211365,1.1204488041309087e-40,12
gamma_id,d_encoding_id,ASY-001,PAT-001,concentration_top10,volatility,0.9982687184821908,0.20029983812837765,4.983871818420408,7.776509155900325e-42,12
gamma_id,d_encoding_id,ASY-002,PAT-001,concentration_top10,volatility,0.9880168740492934,0.20029983812837765,4.932689328565739,2.0765289332443193e-41,12
gamma_id,d_encoding_id,ASY-003,PAT-001,concentration_top10,volatility,0.4818779321283316,0.20029983812837765,2.4057829333815177,1.0408250984195957e-42,12
gamma_id,d_encoding_id,ASY-004,PAT-001,concentration_top10,volatility,0.9993614956623725,0.20029983812837765,4.989327525176802,5.261105856153501e-44,12
gamma_id,d_encoding_id,R3-001,PAT-001,concentration_top10,volatility,0.999770073041991,0.20029983812837765,4.991367353982637,3.601597810850197e-30,8
gamma_id,d_encoding_id,R3-002,PAT-001,concentration_top10,volatility,0.999924547363488,0.20029983812837765,4.9921385693912,3.653477457338206e-30,8
gamma_id,d_encoding_id,R3-003,PAT-001,concentration_top10,volatility,0.9084389082502339,0.20029983812837765,4.535395119331003,1.1390483221269343e-17,8
gamma_id,d_encoding_id,SYM-001,PAT-001,concentration_top10,volatility,0.9209573114637951,0.20029983812837765,4.597893438503571,1.2919896342511768e-19,12
gamma_id,d_encoding_id,SYM-002,PAT-001,concentration_top10,volatility,0.9973177249516832,0.20029983812837765,4.97912396869974,2.393614144729043e-42,12
gamma_id,d_encoding_id,SYM-003,PAT-001,concentration_top10,volatility,0.9980694861486257,0.20029983812837765,4.982877147953238,1.1875177263933239e-43,12
gamma_id,d_encoding_id,SYM-004,PAT-001,concentration_top10,volatility,0.9990539904316244,0.20029983812837765,4.987792300617354,1.269068223655854e-42,12
gamma_id,d_encoding_id,SYM-005,PAT-001,concentration_top10,volatility,0.9102212187495115,0.20029983812837765,4.544293331710661,2.269334397642737e-28,12
